===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2022-08-06 01:12:43
count workspace : /Users/furkanacar/AndroidStudioProjects/hal_app/lib
total files : 130
total code lines : 12788
total comment lines : 1464
total blank lines : 1330

cat.dart, code is 200, comment is 19, blank is 18.
feature/home/sub/add_profile/viewmodel/cubit/add_profile_cubit.dart, code is 142, comment is 4, blank is 19.
feature/home/sub/add_profile/viewmodel/cubit/add_profile_state.dart, code is 12, comment is 0, blank is 4.
feature/home/sub/bildirim/view/bildirim_view.dart, code is 918, comment is 10, blank is 44.
feature/home/sub/bildirim/viewmodel/cubit/bildirim_cubit.dart, code is 623, comment is 39, blank is 93.
feature/home/sub/bildirim/viewmodel/cubit/bildirim_state.dart, code is 8, comment is 0, blank is 3.
feature/home/sub/bildirim_page/main_bildirim_page/view/main_bildirim_page.dart, code is 85, comment is 7, blank is 6.
feature/home/sub/bildirim_page/main_bildirim_page/viewmodel/cubit/main_bildirim_cubit.dart, code is 46, comment is 36, blank is 9.
feature/home/sub/bildirim_page/main_bildirim_page/viewmodel/cubit/main_bildirim_state.dart, code is 13, comment is 0, blank is 4.
feature/home/sub/bildirim_page/sub/komisyoncu_bildirim_page_ureticiden_sevk_alım/view/komsiyoncu_bildirim_page.dart, code is 1173, comment is 25, blank is 50.
feature/home/sub/bildirim_page/sub/komisyoncu_bildirim_page_ureticiden_sevk_alım/viewmodel/cubit/komisyoncu_bildirim_page_cubit.dart, code is 447, comment is 43, blank is 69.
feature/home/sub/bildirim_page/sub/komisyoncu_bildirim_page_ureticiden_sevk_alım/viewmodel/cubit/komisyoncu_bildirim_page_cubit_bildirim_page_state.dart, code is 10, comment is 0, blank is 5.
feature/home/sub/bildirim_page/sub/satın_alım_page/view/satın_alım_page.dart, code is 1220, comment is 61, blank is 48.
feature/home/sub/bildirim_page/sub/satın_alım_page/viewmodel/cubit/satin_alim_cubit.dart, code is 610, comment is 61, blank is 83.
feature/home/sub/bildirim_page/sub/satın_alım_page/viewmodel/cubit/satin_alim_state.dart, code is 17, comment is 0, blank is 6.
feature/home/sub/bildirim_page/sub/sevk_etme_page/view/sevk_etme_page.dart, code is 352, comment is 80, blank is 21.
feature/home/sub/bildirim_page/sub/sevk_etme_page/view/table.dart, code is 162, comment is 1, blank is 22.
feature/home/sub/bildirim_page/sub/sevk_etme_page/viewmodel/cubit/sevk_etme_cubit.dart, code is 277, comment is 13, blank is 44.
feature/home/sub/bildirim_page/sub/sevk_etme_page/viewmodel/cubit/sevk_etme_state.dart, code is 8, comment is 0, blank is 3.
feature/home/sub/bildirim_page/sub/tuccar_hal_ici_disi/view/tuccar_hal_ici_disi_main.dart, code is 65, comment is 2, blank is 5.
feature/home/sub/bildirim_page/sub/tuccar_hal_ici_disi/viewmodel/cubit/tuccar_hal_ici_disi_main_cubit.dart, code is 32, comment is 2, blank is 5.
feature/home/sub/bildirim_page/sub/tuccar_hal_ici_disi/viewmodel/cubit/tuccar_hal_ici_disi_main_state.dart, code is 10, comment is 0, blank is 5.
feature/home/sub/resent_notifications/view/resent_notifications_page.dart, code is 42, comment is 0, blank is 3.
feature/home/sub/resent_notifications/viewmodel/cubit/recent_notifications_cubit.dart, code is 24, comment is 0, blank is 4.
feature/home/sub/resent_notifications/viewmodel/cubit/recent_notifications_state.dart, code is 4, comment is 0, blank is 2.
feature/home/sub/saved_notifications/view/saved_notifications_page.dart, code is 165, comment is 21, blank is 15.
feature/home/view/home_view.dart, code is 114, comment is 193, blank is 10.
feature/home/view/my_tab_bar.dart, code is 41, comment is 0, blank is 5.
feature/home/viewmodel/cubit/home_cubit.dart, code is 17, comment is 1, blank is 4.
feature/home/viewmodel/cubit/home_state.dart, code is 4, comment is 0, blank is 2.
feature/launch/view/launch_view.dart, code is 154, comment is 18, blank is 24.
feature/manage_tc/view/manage_tc_page.dart, code is 310, comment is 13, blank is 26.
feature/manage_tc/viewmodel/cubit/manage_tc_cubit.dart, code is 21, comment is 0, blank is 5.
feature/manage_tc/viewmodel/cubit/manage_tc_state.dart, code is 9, comment is 0, blank is 4.
feature/subscriptions/view/subscriptions_page.dart, code is 245, comment is 4, blank is 10.
feature/subscriptions/viewmodel/cubit/subscriptions_cubit.dart, code is 262, comment is 21, blank is 39.
feature/subscriptions/viewmodel/cubit/subscriptions_state.dart, code is 10, comment is 0, blank is 3.
firebase_options.dart, code is 64, comment is 12, blank is 7.
generated_plugin_registrant.dart, code is 18, comment is 7, blank is 4.
main.dart, code is 141, comment is 2, blank is 4.
project/cache/app_cache_manager.dart, code is 46, comment is 6, blank is 14.
project/cache/bildirim_cache_manager.dart, code is 71, comment is 3, blank is 16.
project/cache/bildirim_list_cache_manager.dart, code is 122, comment is 16, blank is 19.
project/cache/bildirimci_cache_manager.dart, code is 52, comment is 3, blank is 10.
project/cache/uretici_list_cache_manager.dart, code is 71, comment is 6, blank is 16.
project/cache/user_cache_manager.dart, code is 43, comment is 3, blank is 10.
project/fake_response/bildirim_kayit_response/bildirim_kayit_cevap_multi.dart, code is 9, comment is 0, blank is 3.
project/model/bildirim/bildirim_model.dart, code is 102, comment is 1, blank is 6.
project/model/bildirim/bildirim_model.g.dart, code is 134, comment is 7, blank is 10.
project/model/bildirim_kayit_response_model.dart/bildirim_kayit_response_model.dart, code is 45, comment is 0, blank is 5.
project/model/bildirim_kayit_response_model.dart/bildirim_kayit_response_model.g.dart, code is 19, comment is 4, blank is 4.
project/model/bildirim_kayit_response_model.dart/sub/bildirim_kayit_cevap_model.dart, code is 50, comment is 0, blank is 4.
project/model/bildirim_kayit_response_model.dart/sub/bildirim_kayit_cevap_model.g.dart, code is 23, comment is 4, blank is 4.
project/model/bildirimci/bildirimci_model.dart, code is 49, comment is 0, blank is 4.
project/model/bildirimci/bildirimci_model.g.dart, code is 102, comment is 7, blank is 10.
project/model/hal_base_response_model.dart/hal_base_response_model.dart, code is 3, comment is 0, blank is 1.
project/model/hal_ici_isyeri/hal_ici_isyeri_model.dart, code is 24, comment is 0, blank is 2.
project/model/hal_ici_isyeri/hal_ici_isyeri_model.g.dart, code is 16, comment is 4, blank is 4.
project/model/hks_bildirim_model/hks_bildirim_model.dart, code is 61, comment is 7, blank is 4.
project/model/hks_bildirim_model/hks_bildirim_model.g.dart, code is 60, comment is 4, blank is 4.
project/model/hks_user/hks_user.dart, code is 9, comment is 0, blank is 1.
